Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total
dic-21,"531,775.93","821,882.15","768,102.83","14,349.94","4,238,093.88"
ene-22,"513,015.93","683,031.84","621,512.78","13,681.79","3,813,664.84"
feb-22,"519,921.04","661,521.58","592,106.14","8,915.36","3,840,927.53"
mar-22,"483,657.43","701,819.65","598,038.47","10,326.27","4,010,163.29"
abr-22,"493,178.40","812,059.06","569,199.43","9,065.57","3,942,312.56"
may-22,"515,616.02","791,824.98","483,991.63","8,920.19","3,723,363.55"
jun-22,"513,914.27","781,009.47","507,260.42","9,445.02","3,610,478.09"
jul-22,"513,619.25","788,841.46","554,496.90","9,177.23","3,766,354.50"
ago-22,"541,273.94","784,468.32","581,844.42","9,928.60","3,860,505.13"
sep-22,"479,529.68","760,396.15","570,632.20","10,663.38","3,806,630.62"
oct-22,"545,823.45","768,784.36","573,943.48","8,890.20","3,640,765.77"
nov-22,"528,393.77","771,173.12","572,163.23","10,785.62","4,259,102.57"
dic-22,"556,737.22","865,851.44","635,953.46","8,940.56","4,054,933.40"
ene-23,"574,148.00","804,524.73","599,501.29","9,391.16","4,112,993.69"
feb-23,"497,273.19","737,345.64","544,144.00","8,398.95","3,728,618.58"
mar-23,"588,892.16","875,010.34","656,941.64","11,462.71","4,412,648.89"
abr-23,"513,919.89","798,128.36","585,642.20","10,553.37","3,924,688.62"
may-23,"565,814.79","866,826.79","646,221.20","12,201.45","4,473,315.73"
